"b'""literal"""	"""predicate_id"""	"""object_id"""	"""mapping_justification"""	"""mapping_provider"""	"""author_label"""	"""mapping_date"""
"""CS57789"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0000119"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""BHT101"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0002116"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""GM06985"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0001107"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""C4II"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0002123"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""RCHACV"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0002314"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""JIMT-1"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0005388"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""KMS-27"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0006616"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Nancy George"""	0021-10-28T15:33:15
"""CS57874"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0000153"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""amelanotic skin melanoma"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0002894"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""CS57622"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0000039"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""CS57908"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0000164"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""huH-1"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0006445"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Maria Keays"""	0015-06-24T16:11:15
"""CS57850"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0000145"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""bronchioloalveolar carcinoma"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_1001941"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0018-02-03T10:01:15
"""CS57709"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0000068"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""PC-9"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0002847"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""QGP-1"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0006741"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""CMK"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0003037"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""ST486"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0002353"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""NCI-H2106"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0006672"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""CS57867"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0000149"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""ARH77"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0002111"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""HCC1493"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0006427"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Maria Keays"""	0015-06-24T17:47:15
"""CS57543"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0000009"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""SQ-5"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0002861"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""MCF10DCIS.com"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0006643"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""squamous cell breast carcinoma, acantholytic variant"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_1001969"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0018-02-03T10:01:15
"""RAMOS"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0002077"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Maria Keays"""	0015-06-24T16:11:15
"""periportal liver sinusoidal endothelial cell"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0010705"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Natassja Bush"""	0021-06-11T16:01:15
"""BICR 31"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0006542"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""BCKN-1"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0002049"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""Lu130"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0003142"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""J82"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0002210"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""gastrulating embryo Ce"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0005503"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""escherichia coli infection"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_1001318"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Nancy George"""	0023-02-05T11:31:15
"""GM12814"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0001157"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""interleukin-4 (Homo sapiens)"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0003296"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Anja Fullgrabe"""	0021-01-15T18:41:15
"""MEC1"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0002231"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""CB189"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0004076"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""CS57627"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0000043"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""QGP-1"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0006741"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0015-10-09T10:06:15
"""GM11832"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0001120"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Laura Huerta"""	0016-03-05T10:01:15
"""basal"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0001654"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/gxa"""	"""Natassja Bush"""	0021-06-11T16:01:15
