"b'""literal"""	"""predicate_id"""	"""object_id"""	"""mapping_justification"""	"""mapping_provider"""	"""author_label"""	"""mapping_date"""
"""fibroblast of dermis"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/CL_0002551"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""normal"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/PATO_0000461"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""Retinitis pigmentosa"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.orpha.net/ORDO/Orphanet_791"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""Bardet-Biedl syndrome"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.orpha.net/ORDO/Orphanet_110"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""Spinocerebellar ataxia type 3"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.orpha.net/ORDO/Orphanet_98757"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""Parkinson\'s disease"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0002508"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""amyotrophic lateral sclerosis"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/MONDO_0004976"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""keratinocyte"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/CL_0000312"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""prolonged QT interval"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/HP_0001657"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""Proximal spinal muscular atrophy type 3"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.orpha.net/ORDO/Orphanet_83419"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""erythroblast"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/CL_0000765"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""Parkinson\'s disease"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/MONDO_0005180"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""Catecholaminergic polymorphic ventricular tachycardia"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.orpha.net/ORDO/Orphanet_3286"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""Huntington disease"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.orpha.net/ORDO/Orphanet_399"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""Dravet syndrome"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.orpha.net/ORDO/Orphanet_33069"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""Frontotemporal dementia"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.orpha.net/ORDO/Orphanet_282"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""mesenchymal stem cell of the bone marrow"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/CL_0002540"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
"""age-related macular degeneration"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0001365"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://cells.ebisc.org/"""	"""Luca Cherubin"""	2016-07-27T12:00:00
