"b'""literal"""	"""predicate_id"""	"""object_id"""	"""mapping_justification"""	"""mapping_provider"""	"""author_label"""	"""mapping_date"""
"""Increased level of microtubules"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000097"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Decreased cell number"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000052"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Lamellipodia + high actin ratio cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000083"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Lamellipodia + high actin ratio cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000105"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Normal mitotic exit"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000314"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Cells with protrusions"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000071"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Increased number of multinucleate cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000300"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Decreased number of filopodia"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000067"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Increased cell number"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000051"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""SM phenotype"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000118"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""SM phenotype"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000305"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Elongated cells with protrusions"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000071"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Elongated cells with protrusions"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000077"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Mitotic delay/arrest"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000202"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
